hsn_id,hsn_code,description,category_id,subcategory_id,sector_id
c017e774-fa1b-45ca-9e79-359e43bfc977,01041010,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,92aaad4f-6968-430d-8176-e12fbea35869,0d60b3aa-2975-4e5f-8c7b-905f9096f200,51
2653c75a-0d37-458c-bdfc-be73057aadf0,01041090,OTHER,92aaad4f-6968-430d-8176-e12fbea35869,0d60b3aa-2975-4e5f-8c7b-905f9096f200,51
4c3ae2f8-9f1b-4d7a-820b-59c701db271b,01042000,GOATS,92aaad4f-6968-430d-8176-e12fbea35869,0d60b3aa-2975-4e5f-8c7b-905f9096f200,51
34ed26e0-dda5-4032-ad5d-4d004cdfaf2b,01051100,FOWLS OF THE SPECIES GALLUS DOMESTICUS,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
e20eba17-47a3-4c3e-97a5-dbd27439ca0f,01051200,TURKEYS,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
00eae9a6-851f-4e1c-9f8b-cfb71fe2451e,01051300,Ducks,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
381e0a50-d7fb-47af-b276-8860e7796593,01051400,Geese,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
149b5522-6a50-464f-9db6-83b1008e83e5,01051500,Guinea fowls,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
26a341cc-f928-46cd-8b8e-33fdffac63fd,01051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
0d6bfc35-552e-4631-a160-6258ad4e8184,01059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
d6baf706-4709-4119-a5cc-117ba633610c,01059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
1fea4c68-365b-49a6-9716-017b472eebc2,01059400,FOWLS OF THE SPECIES GALLUS DOMESTICUS,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
adb7ddcc-b07d-4dbc-ae36-1b4e063e0610,01059900,OTHER,92aaad4f-6968-430d-8176-e12fbea35869,f9325511-6396-4c81-84fa-fa356e97e1a6,51
d3a06df0-8011-4272-8f80-53cfddd3fb14,01061100,PRIMATES,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
9e7fca9f-2e72-4b96-b6ab-3ef76781f3f7,01061200,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
79f2e4db-d713-4a15-9736-cc8eca245c51,01061300,Camels and other camelids (Camelidae),92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
378fc6c3-8d53-426d-adcc-0789a56c50c9,01061400,RABBITS AND HARES,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
80dd0b4b-23e9-49dc-aaab-ddd45c458bac,01061900,OTHER,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
56daddcb-2106-439f-956b-ed1cd83fc5c1,01062000,REPTILES (INCLUDING SNAKES AND TURTLES),92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
14c594e4-6861-4dce-a8f8-50af27b61b86,01063100,BIRDS OF PREY,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
70948285-48ec-4dec-bcab-a3e07853c562,01063200,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
f99c4d56-f079-41b1-ba34-02270ff3c173,01063300,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
49d18142-0cf3-4a86-a0ce-fb41ae442212,01063900,OTHER,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
2c8e1f1c-2c7c-46f8-8fa2-8cbda830eb9c,01064110,Pureline stock,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
225ddf2b-d780-459a-afc7-c19ff2524317,01064190,other,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
e0407eb8-da27-4954-b696-0595bdb20673,01064910,Pureline Stock,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
f87d5e5d-b84e-41f6-9127-b1edc3e1ca39,01064990,Other,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
bf3c8890-bfbf-43e3-adb7-0693d824051e,01069000,Other,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
4dbc631d-1e68-4f48-88b4-979e7fc95d89,01069010,"OTHERLIVE ANIMALS- OTHER - BEESANDOTHERINSECTS,NOTELSEWHEREINCLUDEDORSPECIFIED",92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
f7357256-9c34-44f5-9ac5-76e0112faa73,01069020,OTHER LIVE ANIMALS - OTHER - PURE LINE STOCK,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
796f7dbc-7f56-40a6-8da8-22e6caa5e124,01069090,OTHER LIVE ANIMALS - OTHER - OTHER,92aaad4f-6968-430d-8176-e12fbea35869,82980b98-933d-4b58-83a7-71d4c06c3b57,51
