sac_id,sac_code,description,sac_group_id,sector_id
72d8f875-288f-4ed5-8aef-5e824e13c29f,995478,Other building completion and finishing services nowhere else classified,1,76
27697d89-6a4e-4b96-9906-bbde9e60fd3e,995479,"Services involving repair, alterations, additions, replacements, maintenance of the completion/finishing works covered above",1,76
234e7602-a80b-4010-977f-8748535a4555,996111,Services provided for a fee or commission or on contract basis on wholesale trade,2,100
865ebe56-83ba-44b2-9ad0-8351e41ea9fb,996211,Services provided for a fee or commission or on contract basis on retail trade,3,95
2286fca2-3ae3-4b0d-9a02-7f83d0e06d3b,996311,"Room or unit accommodation services provided by Hotels, Inn, Guest House, Club and the like",4,98
0c30915a-94a0-486e-bce7-d98bb92bba10,996312,Camp site services,4,98
aad55a11-e313-4305-8c20-0266b8f1111e,996313,Recreational and vacation camp services,4,98
a00f104e-0ff9-46a0-b01e-528808f8139e,996321,Room or unit accommodation services for students in student residences,4,98
bd2f5c51-405e-4b06-8f83-da71ffe88779,996322,"Room or unit accommodation services provided by Hostels, Camps, Paying Guest and the like",4,98
49acf547-3903-4764-b88c-e4095a42aaf0,996329,Other room or unit accommodation services nowhere else classified,4,98
56934908-7437-413b-ada3-eca3f3981b20,996331,"Services provided by restaurants, cafes and similar eating facilities including takeaway services, room services and door delivery of food",4,98
35bffbec-4db2-40cc-b155-eddf9416a6f0,996332,"Services provided by Hotels, Inn, Guest House, Club and the like including room services, takeaway services and door delivery of food",4,98
0002ec7f-19cc-43db-a53e-c4c2ff231ccf,996333,Services provided in canteen and other similar establishments,4,98
68d0e849-d8b5-4e41-a81f-b3d2fbb6865e,996334,"Catering Services in exhibition halls, events, marriage halls and other outdoor/indoor functions",4,98
847c8811-fc20-4cea-bba3-88551e06fa0b,996335,"Catering services in trains, flights and the like",4,98
32acd6f9-3642-4c9f-a028-1454107938f3,996336,"Preparation or supply services of food, edible preparations, alcoholic and non-alcoholic beverages to airlines and other transportation operators",4,98
7d5f39da-b94c-454a-9880-7fb58b67c68d,996337,Other contract food services,4,98
00b86d56-018c-42a9-bad6-b4ea3fef9958,996339,"Other food, edible preparations, alcoholic and non-alcoholic beverages serving services nowhere else classified",4,98
e91247c7-7ac2-483e-af3a-478be1446b9c,996411,"Local land transport services of passengers by railways, metro, monorail, bus, tramway, autos, three wheelers, scooters and other motor vehicles",5,99
b2652f73-dfaf-4783-b45f-3cc29034edc0,996412,Taxi services including radio taxi and other similar services,5,99
6cb337e6-c0eb-4a6d-a8d1-2d7dd4d5bc14,996413,Non-scheduled local bus and coach charter services,5,99
fe6e722f-7b44-4165-a297-f6f3d76f4572,996414,Other land transportation services of passengers,5,99
8eb48b6a-927c-4ee6-94b1-e1b848f8cd43,996415,"Local water transport services of passengers by ferries, cruises and the like",5,99
54866cec-1566-415e-8bc5-3ea74ca19a1e,996416,"Sightseeing transportation services by rail, land, water and air",5,99
b7aea475-3761-4c60-a917-3cb58b2d7155,996417,Transport services of passengers by ropeways,5,99
d5978bde-71bd-420a-ba1c-f8f45ed433a1,996418,Sightseeing transportation services by rail or road,5,99
0c615023-a025-41b0-a46b-6fadd84435d0,996419,Other local transportation services of passengers nowhere else classified,5,99
1de0d4a5-db64-4842-931f-6cc9c833a35e,996421,"Long-distance transport services of passengers through rail network by railways, metro and the like",5,99
60d85f6f-a4d6-4a4f-8432-d76b98a4ee7e,996422,"Long-distance transport services of passengers through road by bus, car, non-scheduled long distance bus and coach services, stage carriage and the like",5,99
044bac39-f01e-4758-8cf9-4949278db52d,996423,Taxi services including radio taxi and other similar services,5,99
474f1e02-b54c-479f-8c11-b60609ffc282,996424,"Coastal and transoceanic (overseas) water transport services of passengers by Ferries, Cruise Ships and the like",5,99
255b6ef7-5956-4457-9a3a-679728c367a1,996425,Domestic/ international scheduled air transport services of passengers,5,99
34c001ec-4391-49ac-98ee-f1cced32da5e,996426,Domestic/ international non-scheduled air transport services of passengers,5,99
51cd9b1d-f016-494b-91b4-1f5cbd0252e8,996427,Space transport services of passengers,5,99
2acfe330-bf5e-44a6-9087-0f703ea1028f,996429,Other long-distance transportation services of passengers nowhere else classified,5,99
8a591cc4-f37f-41bd-933b-9b349c62e552,996431,Long-distance transport service of passengers through rail network by railways,5,99
7b7ce234-914a-449b-bdf3-12bc664683b4,996432,"Scheduled long-distance transport services of passengers through road by bus and coach services including stage carriage, contract carriage and the like",5,99
9ff542b6-8a7a-4f81-bde3-54523604fec0,996433,"Non-scheduled long-distance transport services of passengers through road by bus and coach services including stage carriage, contract carriage and the like",5,99
207fcfc7-72d6-4932-8c8a-2bfdae21492f,996434,"Long-distance transport service of passengers by any motor vehicle other than bus including motorcab, maxicab  and radio taxi",5,99
c19405f7-60e6-4cf6-90d4-c6ff539742cd,996439,Other long distance transport service of passengers by land nowhere else specified,5,99
d921b870-11ea-4e92-b8ac-fc776d897689,996441,Coastal water transport service of passengers by ferries and the like,5,99
acdc9afe-4c23-4a99-9041-efb5a78c93b7,996442,Coastal  water transport service of passengers by cruise ships and the like,5,99
546546a4-e5d6-42bb-bc1d-37ab13e66e75,996443,Inland water transport service of passengers by ferries and the like,5,99
e051e612-6278-475c-bf98-95a48a9b94e4,996444,Inland water transport service of passengers by cruise ships and the like,5,99
b4d946a3-fa9f-4b4c-abd5-47492a9ef082,996445,"International water transport services of passengers by ferries, cruise ships and the like",5,99
d22ae406-a78d-4962-9103-e16c59ca26ee,996449,Other long distance transport service of passengers by water nowhere else specified,5,99
bfd56a92-4f44-42fd-996b-578f0995f5a2,996451,Domestic scheduled air transport service of passengers in economy class,5,99
3db66460-cb8e-47b7-8954-f0adaa1d66d1,996452,Domestic scheduled air transport service of passengers in other than economy class,5,99
7b2a052d-420b-4e21-8845-25e625969ef0,996453,Domestic non-scheduled air transport service of passengers,5,99
d6bb126f-0f9f-4746-a8de-2a76cea0e8c5,996454,International scheduled air transport service of passengers in economy class,5,99
55dd708b-8df2-47f8-8bf2-6f86dace75a5,996455,International scheduled air transport service of passengers in other than economy class,5,99
c9da2a8d-da06-4379-a9da-f9d398339914,996456,International non-scheduled air transport service of passengers,5,99
e09476eb-8130-4c2a-bd8f-11acb5206563,996459,Other long-distance transportation service of passengers by air nowhere else specified including space transport service of passengers,5,99
c463cacc-c368-4559-92b1-d5da2a1df588,996511,"Road transport services of Goods including letters, parcels, live animals, household and office furniture, containers and the like by refrigerator vehicles, trucks, trailers, man or animal drawn vehicles or any other vehicles",6,99
dd8fd924-0240-40e3-a13e-bbd3f74bc20f,996512,"Railway transport services of Goods including letters, parcels, live animals, household and office furniture, intermodal containers, bulk cargo and the like",6,99
6b5d25ee-2535-48db-a936-78ab5cd36c92,996513,"Transport services of petroleum and natural gas, water, sewerage and other goods via pipeline",6,99
